Date,LOCATION,PIT,Length.mm,Weight.g
2019-03-05,RRSAC4,D6E7B,53,1.56
2019-03-05,RRSAC4,D6E88,51,1.39
2019-03-05,RRSAC4,D6E89,48,1.3
2019-03-05,RRSAC4,D6E95,52,1.4
2019-03-05,RRSAC4,D6E99,NA,NA
2019-03-05,RRSAC4,D6E9C,52,1.54
2019-03-05,RRSAC4,D6EA5,50,1.34
2019-03-05,RRSAC4,D6EA9,55,1.92
2019-03-05,RRSAC4,D6EB5,NA,NA
2019-03-05,RRSAC4,D6ECB,54,1.52
2019-03-05,RRSAC4,D6ED0,55,1.88
2019-03-12,ELDSAC,B03F5,NA,NA
2019-03-12,ELDSAC,B040B,NA,NA
2019-03-12,ELDSAC,B0410,NA,NA
2019-03-12,ELDSAC,B0425,51,1.3
2019-03-12,ELDSAC,B0439,NA,NA
2019-03-12,ELDSAC,B045F,NA,NA
2019-03-12,ELDSAC,B046F,55,1.61
2019-03-12,ELDSAC,D6EBA,53,1.33
2019-03-12,RRCAN,B03AF,61,2.36
2019-03-12,RRCAN,B03C7,54,1.65
2019-03-12,RRCAN,B03F6,59,2.27
2019-03-12,RRCAN,B0433,58,2.36
2019-03-12,RRCAN,B0442,58,2.29
2019-03-12,RRCAN,B0459,59,2.35
2019-03-12,RRCAN,B0465,59,2.12
2019-03-12,RRCAN,B046C,63,2.76
2019-03-12,RRCAN,B0472,62,2.47
2019-03-12,RRCAN,B047A,59,2.05
2019-03-12,RRCAN,B0485,72,4.26
2019-03-12,RRCAN,B048D,66,2.91
2019-03-12,RRCAN,B049E,60,2.43
2019-03-12,RRCAN,B04BA,59,2.05
2019-03-12,RRCAN,B04BC,64,2.82
2019-03-12,RRCAN,B04C5,59,2.3
2019-03-12,RRCAN,B04CA,64,2.63
2019-03-12,RRCAN,D6E7D,59,2.22
2019-03-12,RRCAN,D6E84,62,2.7
2019-03-12,RRCAN,D6E92,62,2.95
2019-03-12,RRCAN,D6EA0,54,1.95
2019-03-12,RRCAN,D6EAC,60,2.25
2019-03-12,RRCAN,D6EBD,61,2.53
2019-03-12,RRCAN,D6ECA,61,2.45
2019-03-12,RRCAN,D6ECE,58,2.21
2019-03-12,RRSAC1,B03B3,52,1.48
2019-03-12,RRSAC1,B03C9,49,1.2
2019-03-12,RRSAC1,B03D6,53,1.7
2019-03-12,RRSAC1,B03EB,54,1.74
2019-03-12,RRSAC1,B0415,NA,NA
2019-03-12,RRSAC1,B0421,49,1.2
2019-03-12,RRSAC1,B042D,57,1.78
2019-03-12,RRSAC1,B0431,54,1.55
2019-03-12,RRSAC1,B0435,50,1.24
2019-03-12,RRSAC1,B043F,51,1.34
2019-03-12,RRSAC1,B0441,57,1.71
2019-03-12,RRSAC1,B0445,49,1.07
2019-03-12,RRSAC1,B044F,NA,NA
2019-03-12,RRSAC1,B0467,NA,NA
